This file contains spanwise information at angle of 5.00
 The total lift (uncorrected for stall) and drag coefficient are  CL = 0.921681 (uncorrected)  CDi =   0.01025573   The horizontal tail is panel 113 through 112
 index               xo               yo               zo               cn               cl               cy               cd             A_TE             B_TE             C_TE                S             span            chord               nu          epsilon              psi            phiLE	#
    20 -16.430982416063 -11.028460743438  -0.764442182708   1.062962324668   1.037216589370   0.246820985425   0.011769523364   5.188431585082   1.931309591405  -0.809787834140   0.046660837731   0.125250403633   0.375453458747 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    21 -16.451115749395 -10.907043060144  -0.794999740098   1.047960723828   1.022570115715   0.243095227004   0.012933476211   5.416322680309   1.689387957899  -1.122406278841   0.049427787678   0.125250403633   0.397717545249 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    22 -16.471249082729 -10.785625376851  -0.825557297488   1.028416173841   1.003465554161   0.237352912336   0.013251499921   5.602273582011   1.153554310471  -3.157221814327   0.052194737624   0.125250403633   0.419981631752 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    23 -16.497540749396 -10.513425169839  -0.867845036575   1.001989207294   0.995387917100   0.123104800197   0.004959281491   5.846742973438   0.967157721596   0.488074962349   0.189165445618   0.428050365147   0.445281730050  -6.615880204341  -8.832903886704   0.112604688117  -4.652097884047
    24 -16.529990749396 -10.088869507918  -0.922163466068   1.016579679915   1.009818999417   0.125066582198   0.001712016947   6.333621039233   1.230774393475   0.127824247408   0.201203246703   0.428050365147   0.473617840144  -6.615880204341  -8.832903886704   0.112604688117  -4.652097884047
    25 -16.562440749396  -9.664313845997  -0.976481895560   1.044671920687   1.037682636530   0.128119863803  -0.002272397970   6.893530132617   1.430815196159   0.339539866606   0.213241047788   0.428050365147   0.501953950238  -6.615880204341  -8.832903886704   0.112604688117  -4.652097884047
    26 -16.594890749396  -9.239758184077  -1.030800325052   1.122378830638   1.114904051267   0.136402918781  -0.002824105012   7.728050809865   3.215804520926   3.830809097714   0.225278848873   0.428050365147   0.530290060332  -6.615880204341  -8.832903886704   0.112604688117  -4.652097884047
    27 -16.619859499396  -8.859045995279  -1.072574644198   1.239578479018   1.236316794242   0.116531425601   0.025271818194   9.300862705079   3.516746458283  -3.951233192668   0.188002057265   0.338823113897   0.559068922147  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    28 -16.637346999396  -8.521506592158  -1.101877633998   1.289744356752   1.286375352167   0.121170108895   0.030718515259  10.133470539973   1.956983172692  -0.652416959503   0.197828615750   0.338823113897   0.588290535681  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    29 -16.654834499396  -8.183967189037  -1.131180623797   1.301080200731   1.297670898880   0.122116280960   0.030404439604  10.727924297655   1.589275926747  -0.432873054939   0.207655174236   0.338823113897   0.617512149216  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    30 -16.672321999396  -7.846427785915  -1.160483613596   1.299004503847   1.295609838849   0.122073658717   0.031677818409  11.218609763048   1.318539464401  -0.366207143699   0.217481732722   0.338823113897   0.646733762750  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    31 -16.689809499396  -7.508888382794  -1.189786603395   1.287088811013   1.283746036123   0.121266039208   0.033969579121  11.621251416210   1.046127442479  -0.437818478495   0.227308291208   0.338823113897   0.675955376285  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    32 -16.707296999396  -7.171348979672  -1.219089593194   1.264615202967   1.261363909792   0.119641217437   0.037201221136  11.918468536652   0.667244382437  -0.680457014416   0.237134849694   0.338823113897   0.705176989819  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
    33 -16.724784499396  -6.833809576551  -1.248392582994   1.226809179562   1.223712705761   0.116934931248   0.041815089621  12.054244647867   0.062334143795  -1.104938973489   0.246961408180   0.338823113897   0.734398603354  -4.502033751576  -8.833236245522   0.082227497185  -3.400592961028
