Program Version = FreeWake2020_dev V0.4
Flight configuration defined in input file = FW_Input.txt
Flight Condition number = 1
This file holds surface DVE informtion of last timestep
Angle of attack sweep alpha = 8.000
surface and wake DVE after number of timesteps = 25
elements in span direction = 123
number of surface elements = 738
Coefficients are based on DVE area and DVE freestreaem velocity
 index               xo               yo               zo              cfn         normal-x         normal-y         normal-z                u                v                w             area              eta              xsi               nu          epsilon              psi            phiLE             Phi0            phiTE               x1               y1               z1               x2               y2               z2                A                B                C 	#
    55       -16.764908        -8.388477        -1.398946         0.281718        -0.166773         0.897667         0.407899        26.774890        -0.804902         3.762965         0.001082         0.020478         0.013207       -65.562988        -9.600231         0.855055       -27.363124       -14.590801       -25.961264       -16.767178        -8.397314        -1.380427       -16.788678        -8.383814        -1.418927         0.443750         1.320590         1.545977 
    56       -16.719241        -8.399392        -1.359535         0.248450        -0.059663         0.929897         0.362949        26.774890        -0.804902         3.762965         0.001014         0.020408         0.012418       -68.678736        -3.420465         0.101455       -26.346244       -14.082361       -24.919435       -16.721512        -8.406941        -1.340570       -16.741762        -8.393241        -1.378999         0.746321         1.989260         3.652765 
    57       -16.738866        -8.385657        -1.397953         0.262473        -0.059663         0.929897         0.362949        26.774890        -0.804902         3.762965         0.001065         0.020408         0.013044       -68.678736        -3.420465         0.101455       -26.346244       -14.082361       -24.919435       -16.741762        -8.393241        -1.378999       -16.762012        -8.379540        -1.417429         0.833266         2.254551         2.846787 
    58       -16.694449        -8.398575        -1.359252         0.209647        -0.009972         0.939692         0.341878        26.774890        -0.804902         3.762965         0.001012         0.020400         0.012396       -70.007644        -0.571389         0.002654       -24.969802       -13.394140       -23.510371       -16.697345        -8.405577        -1.340091       -16.716345        -8.391806        -1.378496         1.040030         2.711151         3.104869 
    59       -16.712824        -8.384799        -1.397655         0.220328        -0.009972         0.939692         0.341878        26.774890        -0.804902         3.762965         0.001063         0.020400         0.013021       -70.007644        -0.571389         0.002654       -24.969802       -13.394140       -23.510371       -16.716345        -8.391806        -1.378496       -16.735345        -8.378035        -1.416901         1.155904         2.973418         3.323269 
    60       -16.669658        -8.398916        -1.359376         0.184463         0.039216         0.946115         0.321447        26.774890        -0.804902         3.762965         0.001012         0.020403         0.012405       -71.234567         2.247479         0.038370       -23.492540       -12.655509       -21.999645       -16.673178        -8.405350        -1.340012       -16.690928        -8.391567        -1.378412         1.299365         3.302941         2.308180 
    61       -16.686783        -8.385157        -1.397786         0.192363         0.039216         0.946115         0.321447        26.774890        -0.804902         3.762965         0.001063         0.020403         0.013031       -71.234567         2.247479         0.038370       -23.492540       -12.655509       -21.999645       -16.690928        -8.391567        -1.378412       -16.708678        -8.377785        -1.416813         1.438456         3.537335         3.436026 
    62       -16.644866        -8.400316        -1.359870         0.148942         0.080135         0.949005         0.304906        26.774890        -0.804902         3.762965         0.001015         0.020410         0.012436       -72.188307         4.596297         0.149356       -21.944872       -11.881675       -20.418734       -16.649012        -8.406245        -1.340325       -16.665512        -8.392509        -1.378743         1.510909         3.755036         1.442022 
    63       -16.660741        -8.386627        -1.398304         0.154380         0.080135         0.949005         0.304906        26.774890        -0.804902         3.762965         0.001066         0.020410         0.013063       -72.188307         4.596297         0.149356       -21.944872       -11.881675       -20.418734       -16.665512        -8.392509        -1.378743       -16.682012        -8.378772        -1.417160         1.667470         3.958630         3.545514 
    64       -16.620074        -8.402659        -1.360691         0.101622         0.118929         0.949682         0.289759        26.774890        -0.804902         3.762965         0.001020         0.020419         0.012485       -73.032431         6.830270         0.305383       -20.342902       -11.080690       -18.784410       -16.624845        -8.408079        -1.340969       -16.640095        -8.394438        -1.379419         1.657557         4.054856         0.443604 
    65       -16.634699        -8.389088        -1.399166         0.104794         0.118929         0.949682         0.289759        26.774890        -0.804902         3.762965         0.001071         0.020419         0.013114       -73.032431         6.830270         0.305383       -20.342902       -11.080690       -18.784410       -16.640095        -8.394438        -1.379419       -16.655345        -8.380796        -1.417870         1.825349         4.233687         3.935335 
    66       -16.788824        -8.371139        -1.447397         0.327389        -0.166963         0.900416         0.401713        26.774890        -0.804902         3.762965         0.001720         0.031163         0.013799       -65.956355        -9.611295         0.718719       -23.509297       -12.663887       -22.664235       -16.788678        -8.383814        -1.418927       -16.816178        -8.362814        -1.477427         0.523115         1.932436         8.801052 
